"x","y","name","country","population","popclass"
-47.8977,-15.7921,"Brasilia","Brazil",2207718,"1,000,000 to 4,999,999"
-68.1462,-16.499,"La Paz","Bolivia",812799,"500,000 to 999,999"
-176.1516,-13.2733,"Mata-Utu","Wallis & Futuna",-999,"Less than 50,000"
-171.7395,-13.837,"Apia","Samoa",40407,"Less than 50,000"
-170.6979,-14.2684,"Pago Pago","American Samoa",4196,"Less than 50,000"
-149.57,-17.535,"Papeete","French Polynesia",26357,"Less than 50,000"
-169.9167,-19.0167,"Alofi","Niue",624,"Less than 50,000"
-175.2457,-21.1309,"Nuku' alofa","Tonga",22400,"Less than 50,000"
-159.7667,-21.2333,"Avarua","Cook Is.",13373,"Less than 50,000"
-130.103,-25.066,"Adamstown","Pitcairn Is.",1281,"Less than 50,000"
-57.849,-51.701,"Stanley","Falkland Is.",2213,"Less than 50,000"
-70.6475,-33.475,"Santiago","Chile",4837295,"1,000,000 to 4,999,999"
-78.5243,-0.2295,"Quito","Ecuador",1399814,"1,000,000 to 4,999,999"
-77.045,-12.082,"Lima","Peru",7737002,"5,000,000 and greater"
-57.622,-25.305,"Asuncion","Paraguay",1482200,"1,000,000 to 4,999,999"
-58.4498,-34.6225,"Buenos Aires","Argentina",13076300,"5,000,000 and greater"
-56.17,-34.92,"Montevideo","Uruguay",1270737,"1,000,000 to 4,999,999"
-5.705,-15.922,"Jamestown","St. Helena",637,"Less than 50,000"
-99.1276,19.427,"Mexico City","Mexico",11285654,"5,000,000 and greater"
-90.5249,14.618,"Guatemala","Guatemala",994938,"500,000 to 999,999"
-81.3833,19.3,"George Town","Cayman Is.",29370,"Less than 50,000"
-64.7792,32.289,"Hamilton","Bermuda",902,"Less than 50,000"
-84.0786,9.9305,"San Jose","Costa Rica",335007,"250,000 to 499,999"
-70.026,12.525,"Oranjestad","Aruba",29998,"Less than 50,000"
-68.9706,12.1388,"Willemstad","Netherlands Antilles",125000,"100,000 to 249,999"
-79.5171,9.0029,"Panama","Panama",408168,"250,000 to 499,999"
-89.2002,13.7014,"San Salvador","El Salvador",525990,"500,000 to 999,999"
-87.203,14.099,"Tegucigalpa","Honduras",850848,"500,000 to 999,999"
-86.273,12.151,"Managua","Nicaragua",973087,"500,000 to 999,999"
-88.8,17.12,"Belmopan","Belize",13381,"Less than 50,000"
-71.1333,21.4667,"Grand Turk","Turks & Caicos Is.",3720,"Less than 50,000"
-76.7995,17.9669,"Kingston","Jamaica",937700,"500,000 to 999,999"
-72.3431,18.5266,"Port-au-Prince","Haiti",1234742,"1,000,000 to 4,999,999"
-69.899,18.489,"Santo Domingo","Dominican Republic",2201941,"1,000,000 to 4,999,999"
-74.0805,4.6302,"Bogota","Colombia",7102602,"5,000,000 and greater"
-77.34,25.067,"Nassau","The Bahamas",227940,"100,000 to 249,999"
-82.4165,23.049,"Havana","Cuba",2163824,"1,000,000 to 4,999,999"
-76.9538,38.8909,"Washington D.C.","United States",552433,"500,000 to 999,999"
-66.8983,10.496,"Caracas","Venezuela",1815679,"1,000,000 to 4,999,999"
-61.4901,10.6397,"Port of Spain","Trinidad & Tobago",49657,"Less than 50,000"
-58.17,6.77,"Georgetown","Guyana",235017,"100,000 to 249,999"
