"label","strength","document"
Topic 20,0.1010,5376e465443cf702ab000001
Topic 27,0.0707,5376e465443cf702ab000001
Topic 5,0.0765,5376e465443cf702ab000009
Topic 8,0.0805,5376e465443cf702ab00001b
Topic 4,0.0819,5376e465443cf702ab000024
Topic 15,0.0753,5376e465443cf702ab000030
Topic 4,0.0881,5376e465443cf702ab000034
Topic 14,0.0833,5376e465443cf702ab000037
Topic 8,0.0705,5376e465443cf702ab000040
Topic 15,0.0765,5376e465443cf702ab000045
Topic 2,0.0819,5376e465443cf702ab000047
Topic 17,0.0866,5376e465443cf702ab00004a
Topic 26,0.0805,5376e465443cf702ab000055
Topic 14,0.0765,5376e465443cf702ab000056
Topic 5,0.1149,5376e465443cf702ab00005a
Topic 1,0.0753,5376e465443cf702ab00005c
Topic 3,0.0833,5376e465443cf702ab000061
Topic 10,0.0766,5376e465443cf702ab000066
Topic 25,0.0753,5376e465443cf702ab00006d
Topic 19,0.0765,5376e465443cf702ab000071
Topic 7,0.0729,5376e465443cf702ab000075
Topic 5,0.0833,5376e465443cf702ab000079
Topic 23,0.0765,5376e465443cf702ab000080
Topic 8,0.0899,5376e465443cf702ab000086
Topic 2,0.0995,5376e465443cf702ab00008d
Topic 26,0.0791,5376e465443cf702ab000093
Topic 4,0.0718,5376e465443cf702ab000098
Topic 27,0.0833,5376e465443cf702ab00009a
Topic 3,0.0791,5376e465443cf702ab0000a4
Topic 8,0.0705,5376e465443cf702ab0000aa
Topic 3,0.0914,5376e465443cf702ab0000af
Topic 21,0.0705,5376e465443cf702ab0000b5
Topic 15,0.0705,5376e465443cf702ab0000c2
Topic 4,0.0864,5376e465443cf702ab0000e9
Topic 19,0.0805,5376e465443cf702ab0000ec
Topic 11,0.0778,5376e465443cf702ab0000f4
Topic 11,0.0753,5376e465443cf702ab000109
Topic 26,0.0705,5376e465443cf702ab000129
Topic 5,0.1212,5376e465443cf702ab00012c
Topic 23,0.0753,5376e465443cf702ab000131
Topic 9,0.0914,5376e465443cf702ab000169
Topic 26,0.0718,5376e465443cf702ab00016a
Topic 19,0.0729,5376e465443cf702ab000173
Topic 10,0.0729,5376e465443cf702ab000173
Topic 24,0.0765,5376e465443cf702ab00017a
Topic 26,0.0718,5376e465443cf702ab000180
Topic 26,0.0705,5376e465443cf702ab00018a
Topic 20,0.0707,5376e465443cf702ab00018c
Topic 12,0.0705,5376e465443cf702ab000195
Topic 26,0.0833,5376e465443cf702ab000197
Topic 0,0.0805,5376e465443cf702ab00019b
Topic 11,0.0791,5376e465443cf702ab0001a0
Topic 17,0.0741,5376e465443cf702ab0001a1
Topic 3,0.0705,5376e465443cf702ab0001b3
Topic 18,0.0805,5376e465443cf702ab0001b8
Topic 28,0.0765,5376e465443cf702ab0001bf
Topic 22,0.1010,5376e465443cf702ab0001c3
Topic 14,0.0753,5376e465443cf702ab0001c9
Topic 14,0.0741,5376e465443cf702ab0001cb
Topic 12,0.0819,5376e465443cf702ab0001d8
Topic 5,0.0848,5376e465443cf702ab0001da
Topic 22,0.0705,5376e465443cf702ab0001df
Topic 27,0.1144,5376e465443cf702ab0001e7
Topic 16,0.0833,5376e465443cf702ab0001ea
Topic 25,0.0705,5376e465443cf702ab0001ed
