source,target,id,cost,weight
I7767,I8106,28929,1,1
I7767,I8105,29173,1,1
I7462,I7500,30974,1,1
I7460,I7510,31049,1,1
I7484,I7558,31864,1,1
I7655,I11906,32481,1,1
I7503,I7923,33228,1,1
I7521,I7799,33399,1,1
I7462,I7504,33477,1,1
I7462,I7499,33536,1,1
I5906,I7524,33855,1,1
I7501,I7727,34213,1,1
I7453,I5906,34369,1,1
I7462,I7502,34698,1,1
I5906,I7520,35083,1,1
I5906,I7491,35166,1,1
I7586,I7453,35487,1,1
I8765,I7586,35488,1,1
I7521,I7800,35848,1,1
I7462,I7501,35924,1,1
I7460,I7509,36131,1,1
I7460,I7511,36132,1,1
I7462,I7498,36213,1,1
I7501,I7761,36217,1,1
I5906,I7518,36404,1,1
I5906,I7522,36406,1,1
I7453,I7485,36776,1,1
I7460,I7462,36911,1,1
I7521,I7803,37215,1,1
I7462,I7497,37410,1,1
I7462,I7505,37411,1,1
I7501,I7841,37414,1,1
I5906,I7519,37531,1,1
I7453,I7483,37914,1,1
I7453,I7486,37915,1,1
I7521,I7798,38230,1,1
I7521,I7801,38231,1,1
I7521,I7802,38232,1,1
I7462,I7506,38322,1,1
I5906,I7521,38323,1,1
I7521,I7805,38324,1,1
I7453,I7487,39083,1,1
I5906,I7460,39225,1,1
I7453,I7484,39227,1,1
I7453,I7488,39228,1,1
I7767,I8104,39396,1,1
I7767,I8107,39496,1,1
I7521,I7796,40117,1,1
I5906,I7489,40851,1,1
I7505,I7707,40972,1,1
I7462,I7503,41063,1,1
I7503,I7655,41066,1,1
I7521,I7804,41230,1,1
I7761,I7767,41338,1,1
I5906,I7490,41829,1,1
I7655,I11904,41942,1,1
I7460,I7508,42025,1,1
I7460,I7507,42432,1,1
I7505,I7706,42724,1,1
I7521,I7797,42726,1,1
I5906,I7492,42829,1,1
I5906,I7523,43126,1,1
I7501,I7771,43515,1,1
I7505,I7705,43596,1,1
