source,target,type,id,label,cost,begin,end
10060,34060,Directed,5,parent,1.0,978,1280
10480,40700,Directed,42,parent,1.0,960,1280
10490,49450,Directed,43,parent,1.0,960,1280
10630,35870,Directed,60,parent,1.0,960,1280
11490,33900,Directed,144,parent,1.0,960,1280
11610,48460,Directed,156,parent,1.0,960,1280
11710,37620,Directed,172,parent,1.0,960,1280
11910,20490,Directed,184,parent,1.0,960,1280
11920,29870,Directed,185,parent,1.0,960,1280
11940,49450,Directed,186,parent,1.0,960,1280
12370,43710,Directed,228,parent,1.0,960,1280
13210,18040,Directed,314,parent,1.0,960,1280
13610,50250,Directed,356,parent,1.0,960,980
13630,40650,Directed,359,parent,1.0,960,1280
13650,18040,Directed,364,parent,1.0,960,1280
14360,15790,Directed,440,parent,1.0,960,1280
14420,23310,Directed,446,parent,1.0,994,1280
14630,40700,Directed,469,parent,1.0,960,1280
14940,24010,Directed,510,parent,1.0,960,1280
15040,29870,Directed,521,parent,1.0,960,1280
15570,23270,Directed,583,parent,1.0,960,1280
15790,35870,Directed,606,parent,1.0,960,1280
16670,24010,Directed,699,parent,1.0,960,1280
16990,49450,Directed,735,parent,1.0,960,1280
17560,23310,Directed,796,parent,1.0,1000,1280
18040,18230,Directed,847,parent,1.0,960,1127
18390,18040,Directed,880,parent,1.0,960,1280
19710,37610,Directed,1034,parent,1.0,960,1280
19740,50880,Directed,1037,parent,1.0,960,1280
19750,32480,Directed,1038,parent,1.0,960,1280
20490,18040,Directed,1122,parent,1.0,960,1280
20670,18390,Directed,1142,parent,1.0,960,1280
20680,29570,Directed,1143,parent,1.0,960,1280
21860,18040,Directed,1271,parent,1.0,960,1280
22060,18040,Directed,1292,parent,1.0,960,1127
22370,23270,Directed,1320,parent,1.0,960,1280
22570,50390,Directed,1340,parent,1.0,960,1280
22590,37620,Directed,1342,parent,1.0,960,1280
22610,48460,Directed,1344,parent,1.0,960,1280
22830,35870,Directed,1368,parent,1.0,980,1280
23270,23310,Directed,1414,parent,1.0,960,1260
23310,18230,Directed,1419,parent,1.0,1162,1162
23350,23310,Directed,1426,parent,1.0,960,1280
23600,32050,Directed,1450,parent,1.0,960,1280
23850,39880,Directed,1482,parent,1.0,960,1280
23970,37610,Directed,1493,parent,1.0,960,1280
24010,32050,Directed,1496,parent,1.0,960,1280
24130,23970,Directed,1506,parent,1.0,960,1280
25110,35870,Directed,1605,parent,1.0,960,1280
26700,39880,Directed,1785,parent,1.0,960,1280
26960,40650,Directed,1815,parent,1.0,1133,1280
27140,18040,Directed,1834,parent,1.0,960,1280
28090,33900,Directed,1946,parent,1.0,960,1280
28730,13630,Directed,2017,parent,1.0,960,1280
29200,37050,Directed,2069,parent,1.0,960,1280
29240,49450,Directed,2074,parent,1.0,960,1280
29440,23970,Directed,2096,parent,1.0,960,1280
29450,49450,Directed,2097,parent,1.0,960,1280
29570,50250,Directed,2117,parent,1.0,960,1280
29850,37620,Directed,2149,parent,1.0,960,1280
29870,50250,Directed,2151,parent,1.0,960,1280
30510,37050,Directed,2226,parent,1.0,960,1280
30560,18040,Directed,2232,parent,1.0,960,1021
30570,24010,Directed,2234,parent,1.0,960,1280
30840,40700,Directed,2258,parent,1.0,960,1280
31120,49450,Directed,2293,parent,1.0,960,1280
31320,18040,Directed,2318,parent,1.0,960,1280
31420,18040,Directed,2333,parent,1.0,960,1280
31430,31420,Directed,2334,parent,1.0,960,1280
31650,29570,Directed,2362,parent,1.0,960,1280
31800,35870,Directed,2377,parent,1.0,960,1280
32050,18230,Directed,2402,parent,1.0,960,979
32480,18040,Directed,2449,parent,1.0,960,1280
32580,40650,Directed,2459,parent,1.0,960,1280
32850,23310,Directed,2489,parent,1.0,1066,1070
33900,23310,Directed,2596,parent,1.0,960,1127
34060,44850,Directed,2616,parent,1.0,960,1280
34470,33900,Directed,2664,parent,1.0,960,1280
34610,49450,Directed,2675,parent,1.0,960,1280
34950,19710,Directed,2713,parent,1.0,960,1280
35120,23970,Directed,2729,parent,1.0,960,1280
35370,40700,Directed,2754,parent,1.0,960,1280
35560,29570,Directed,2768,parent,1.0,960,1280
35870,18230,Directed,2802,parent,1.0,960,1280
35980,23270,Directed,2813,parent,1.0,960,1280
37050,32050,Directed,2930,parent,1.0,960,1280
37160,13630,Directed,2942,parent,1.0,960,1280
37270,40650,Directed,2953,parent,1.0,960,1280
37610,18230,Directed,2988,parent,1.0,980,1280
37620,37610,Directed,2989,parent,1.0,960,1280
38030,24010,Directed,3035,parent,1.0,960,1280
39100,20490,Directed,3158,parent,1.0,960,1280
39180,32050,Directed,3165,parent,1.0,960,1280
39240,50390,Directed,3173,parent,1.0,960,1280
39340,37620,Directed,3187,parent,1.0,960,1280
39480,23310,Directed,3203,parent,1.0,960,1280
39880,37610,Directed,3251,parent,1.0,960,1086
39890,19710,Directed,3253,parent,1.0,960,1280
40090,43710,Directed,3274,parent,1.0,960,1280
40550,50880,Directed,3325,parent,1.0,960,1280
40650,18230,Directed,3336,parent,1.0,960,1280
40700,35870,Directed,3342,parent,1.0,960,1280
40820,33900,Directed,3356,parent,1.0,960,1280
41370,37620,Directed,3421,parent,1.0,960,1280
42500,29570,Directed,3543,parent,1.0,960,1280
42690,40650,Directed,3565,parent,1.0,994,1280
42840,23270,Directed,3580,parent,1.0,960,1280
