id,label,parent,feature,long,lat,located,rank
28730,Liucun,13630,90,116.35,25.83,unlocated,4
37160,Shangbao,13630,110,116.35,25.83,unlocated,4
14360,Chishui,15790,110,118.23,25.48,unlocated,4
13210,Changle,18040,70,119.52,25.96,geolocated,3
13650,Changxi,18040,70,119.99,26.88,geolocated,3
18390,Fuqing,18040,70,119.38,25.73,geolocated,3
20490,Gutian,18040,70,118.76,26.36,geolocated,3
21860,Houguan,18040,70,119.32,26.07,geolocated,3
22060,Huai'an,18040,70,119.15,26.15,geolocated,3
27140,Lianjiang,18040,70,119.53,26.2,geolocated,3
30560,Luoyuan,18040,70,119.54,26.49,geolocated,3
31320,Mianqing,18040,70,118.86,26.21,geolocated,3
31420,Min,18040,70,119.32,26.07,geolocated,3
32480,Ningde,18040,70,119.52,26.66,geolocated,3
48460,Yongfu,18040,70,118.93,25.87,geolocated,3
18040,Fu,18230,30,119.32,26.07,geolocated,2
23310,Jian,18230,"30,20",118.32,27.04,geolocated,2
32050,Nanjiang,18230,30,118.32,27.04,geolocated,2
35870,Quan,18230,30,118.59,24.91,geolocated,2
37610,Shaowu,18230,40,117.48,27.34,geolocated,2
40650,Ting,18230,30,116.35,25.83,geolocated,2
44850,Xinghua,18230,40,119.01,25.43,geolocated,2
50250,Zhang,18230,30,117.65,24.51,geolocated,2
20670,Haikou,18390,90,119.38,25.73,unlocated,4
34950,Qinghua,19710,90,117.33,27.54,unlocated,4
39890,Taiping,19710,110,117.33,27.54,unlocated,4
44430,Xin'an,19710,110,117.33,27.54,unlocated,4
11910,Baoxing,20490,110,118.76,26.36,unlocated,4
39100,Shuikou,20490,90,118.76,26.36,unlocated,4
15570,Datongshan,23270,110,118.11,27.34,unlocated,4
22370,Huangboyang,23270,110,118.11,27.34,unlocated,4
35980,Quling,23270,110,118.11,27.34,unlocated,4
42840,Wuxian,23270,110,118.11,27.34,unlocated,4
14420,Chong'an,23310,"90,70",118.03,27.76,geolocated,3
17560,Fengguo,23310,100,118.32,27.04,unlocated,4
23270,Jiahe,23310,70,118.11,27.34,geolocated,3
23350,Jian'an,23310,70,118.32,27.04,geolocated,3
32850,Ouning,23310,70,118.09,26.42,geolocated,3
33900,Pucheng,23310,70,118,27.03,geolocated,3
39480,Songqi,23310,70,118.77,27.53,geolocated,3
50880,Zhenghe,23310,"90,70",118.85,27.37,geolocated,3
60180,Chang'an,23310,70,117.3,27.71,geolocated,3
