id,label,lat,long,type,group
guildenstern,guildenstern,29,326,character,4
laertes,laertes,65,1474,character,4
first ambassador,first ambassador,1,41,character,4
rosencrantz,rosencrantz,49,720,character,4
danes,danes,3,13,character,4
first sailor,first sailor,2,41,character,4
hamlet,hamlet,402,11907,character,4
lucianus,lucianus,1,41,character,4
first priest,first priest,2,93,character,4
soldiers,soldiers,0,0,character,4
captain,captain,7,86,character,4
first clown,first clown,35,759,character,4
cornelius,cornelius,1,10,character,4
lord polonius,lord polonius,98,2724,character,4
horatio,horatio,115,2091,character,4
gentleman,gentleman,3,178,character,4
messenger,messenger,2,36,character,4
lord,lord,3,67,character,4
attendants,attendants,0,0,character,4
marcellus,marcellus,34,436,character,4
francisco,francisco,9,55,character,4
bernardo,bernardo,19,210,character,4
ophelia,ophelia,58,1224,character,4
voltimand,voltimand,1,152,character,4
queen gertrude,queen gertrude,75,1081,character,4
prince fortinbras,prince fortinbras,6,187,character,4
ghost,ghost,14,688,character,4
second clown,second clown,12,99,character,4
servant,servant,1,9,character,4
reynaldo,reynaldo,13,65,character,4
players,players,18,971,character,4
king claudius,king claudius,129,4184,character,4
osric,osric,25,361,character,4
