source,target,type,id,label,weight,cost,invcost
50206,50448,Directed,177631,,19.85,0.12,19.85
50206,50368,Directed,175427,,16.38,2.57,16.38
50206,50334,Directed,179173,,19.85,0.12,19.85
50206,50449,Directed,186878,,19.67,0.24,19.67
50756,50448,Directed,182997,,19.92,0.07,19.92
50756,50379,Directed,177632,,19.84,0.13,19.84
50756,50486,Directed,177993,,19.64,0.27,19.64
50448,50206,Directed,177650,,19.87,0.11,19.87
50448,50756,Directed,177959,,19.93,0.06,19.93
50448,50476,Directed,182996,,19.91,0.08,19.91
50368,50206,Directed,176241,,16.38,2.57,16.38
50368,50060,Directed,176250,,14.23,4.09,14.23
50060,50368,Directed,175436,,14.23,4.09,14.23
50060,50299,Directed,176153,,10.29,6.87,10.29
50145,50379,Directed,179121,,19.97,0.03,19.97
50065,50379,Directed,183014,,19.95,0.05,19.95
50065,50167,Directed,178215,,19.91,0.08,19.91
50476,50448,Directed,177482,,19.92,0.07,19.92
50379,50756,Directed,177806,,19.89,0.09,19.89
50379,50145,Directed,183012,,19.97,0.03,19.97
50379,50065,Directed,178207,,19.96,0.04,19.96
50379,50203,Directed,175121,,15.78,3.0,15.78
50379,50487,Directed,178000,,19.61,0.29,19.61
50483,50482,Directed,183064,,19.95,0.05,19.95
50483,50329,Directed,179176,,19.99,0.02,19.99
50483,50198,Directed,179178,,19.94,0.05,19.94
50483,50107,Directed,179122,,19.81,0.15,19.81
50483,50250,Directed,177608,,19.48,0.38,19.48
50394,50362,Directed,175425,,15.62,3.11,15.62
50394,50334,Directed,176246,,18.74,0.91,18.74
50221,50148,Directed,176199,,18.91,0.78,18.91
50221,50427,Directed,175433,,17.97,1.45,17.97
50148,50221,Directed,175385,,18.91,0.78,18.91
50148,50222,Directed,176381,,16.57,2.44,16.57
50135,50362,Directed,176190,,18.33,1.19,18.33
50135,50120,Directed,175366,,15.53,3.17,15.53
50362,50394,Directed,176239,,15.62,3.11,15.62
50362,50135,Directed,175376,,18.33,1.19,18.33
50362,50299,Directed,176169,,17.88,1.51,17.88
50482,50483,Directed,179175,,19.96,0.04,19.96
50482,50334,Directed,183063,,19.96,0.04,19.96
50482,50250,Directed,177607,,19.5,0.37,19.5
50334,50206,Directed,183062,,19.81,0.15,19.81
50334,50394,Directed,175432,,18.74,0.91,18.74
50334,50482,Directed,179174,,19.97,0.03,19.97
50334,50329,Directed,176245,,10.01,7.07,10.01
50222,50148,Directed,175567,,16.57,2.44,16.57
50222,50385,Directed,176327,,19.04,0.69,19.04
50120,50135,Directed,176180,,15.53,3.17,15.53
50120,50385,Directed,176367,,14.82,3.67,14.82
50120,50329,Directed,175439,,16.61,2.41,16.61
50299,50060,Directed,175339,,10.29,6.87,10.29
50299,50362,Directed,175355,,17.88,1.51,17.88
50299,50427,Directed,176248,,18.55,1.04,18.55
50427,50221,Directed,176247,,17.97,1.45,17.97
50427,50299,Directed,175434,,18.55,1.04,18.55
50385,50222,Directed,175513,,19.04,0.69,19.04
50385,50120,Directed,175553,,14.82,3.67,14.82
50385,50390,Directed,176326,,12.11,5.59,12.11
50329,50483,Directed,183065,,19.98,0.03,19.98
50329,50334,Directed,175431,,10.01,7.07,10.01
50329,50120,Directed,176253,,16.61,2.41,16.61
50329,50198,Directed,179177,,19.95,0.05,19.95
50203,50379,Directed,175935,,15.78,3.0,15.78
50167,50065,Directed,183016,,19.92,0.07,19.92
50167,50264,Directed,178267,,19.92,0.07,19.92
50390,50385,Directed,175512,,12.11,5.59,12.11
50390,50369,Directed,176238,,14.98,3.56,14.98
50390,50021,Directed,175995,,18.25,1.25,18.25
50390,50387,Directed,176242,,16.66,2.37,16.66
50198,50483,Directed,183068,,19.91,0.07,19.91
50198,50329,Directed,183067,,19.93,0.06,19.93
50198,50384,Directed,176256,,16.35,2.59,16.35
50198,50449,Directed,183069,,19.96,0.04,19.96
50198,50391,Directed,175445,,16.08,2.79,16.08
50384,50198,Directed,175442,,16.35,2.59,16.35
50384,50352,Directed,175443,,16.73,2.32,16.73
50486,50756,Directed,177613,,19.54,0.34,19.54
50486,50451,Directed,183050,,19.85,0.12,19.85
50486,50449,Directed,178003,,19.88,0.1,19.88
50486,50485,Directed,177593,,19.91,0.08,19.91
50486,50107,Directed,177814,,19.86,0.11,19.86
50486,50505,Directed,177612,,19.82,0.14,19.82
50486,50286,Directed,177997,,19.76,0.18,19.76
50451,50486,Directed,179161,,19.86,0.11,19.86
50451,50487,Directed,183049,,19.95,0.05,19.95
50451,50286,Directed,177623,,19.85,0.12,19.85
50716,50487,Directed,179157,,19.94,0.05,19.94
50716,50489,Directed,183051,,19.95,0.05,19.95
50716,50250,Directed,178002,,19.71,0.22,19.71
50487,50379,Directed,177626,,19.56,0.33,19.56
50487,50451,Directed,179158,,19.96,0.05,19.96
50487,50716,Directed,183048,,19.93,0.06,19.93
50487,50286,Directed,177624,,19.83,0.13,19.83
50487,50264,Directed,177627,,19.63,0.28,19.63
50369,50390,Directed,175424,,14.98,3.56,14.98
50369,50188,Directed,176243,,12.06,5.62,12.06
50449,50198,Directed,177485,,19.95,0.05,19.95
50449,50486,Directed,177629,,19.86,0.11,19.86
50449,50485,Directed,182999,,19.97,0.03,19.97
50449,50107,Directed,179179,,19.9,0.08,19.9
50449,50264,Directed,177606,,19.34,0.48,19.34
50260,50021,Directed,175318,,14.65,3.79,14.65
50260,50107,Directed,175356,,13.9,4.32,13.9
50260,50352,Directed,176258,,17.89,1.5,17.89
50021,50390,Directed,175181,,18.25,1.25,18.25
50021,50260,Directed,176132,,14.65,3.79,14.65
50087,50391,Directed,176155,,18.59,1.01,18.59
50087,50107,Directed,175358,,12.39,5.39,12.39
50391,50198,Directed,176259,,16.08,2.79,16.08
50391,50087,Directed,175341,,18.59,1.01,18.59
50485,50486,Directed,177617,,19.89,0.09,19.89
50485,50449,Directed,178025,,19.98,0.03,19.98
50387,50390,Directed,175428,,16.66,2.37,16.66
50107,50483,Directed,183006,,19.73,0.2,19.73
50107,50486,Directed,177619,,19.81,0.15,19.81
50107,50449,Directed,183070,,19.87,0.1,19.87
50107,50260,Directed,176170,,13.9,4.32,13.9
50107,50087,Directed,176172,,12.39,5.39,12.39
50107,50505,Directed,177620,,19.89,0.09,19.89
50107,50286,Directed,177621,,19.66,0.25,19.66
50107,50188,Directed,175447,,12.75,5.14,12.75
50107,50493,Directed,179180,,19.97,0.03,19.97
50352,50384,Directed,176257,,16.73,2.32,16.73
50352,50260,Directed,175444,,17.89,1.5,17.89
50317,50327,Directed,176998,,19.89,0.09,19.89
50505,50486,Directed,177992,,19.76,0.19,19.76
50505,50107,Directed,177861,,19.87,0.1,19.87
50505,50501,Directed,183000,,19.98,0.03,19.98
50505,50499,Directed,183001,,19.95,0.05,19.95
50505,50714,Directed,178517,,19.94,0.06,19.94
50505,50507,Directed,183076,,19.98,0.03,19.98
50505,50512,Directed,177643,,19.86,0.11,19.86
50505,50456,Directed,183192,,19.85,0.12,19.85
50505,50516,Directed,183007,,19.46,0.39,19.46
50501,50505,Directed,178032,,19.99,0.02,19.99
50501,50286,Directed,177634,,19.75,0.19,19.75
50279,50265,Directed,175524,,19.36,0.47,19.36
50279,50327,Directed,176702,,19.01,0.71,19.01
50279,50366,Directed,176049,,17.53,1.76,17.53
50265,50279,Directed,176338,,19.36,0.47,19.36
50265,50327,Directed,175193,,16.32,2.61,16.32
50327,50317,Directed,176698,,19.76,0.19,19.76
50327,50279,Directed,177002,,19.52,0.36,19.52
50327,50265,Directed,176007,,16.32,2.61,16.32
50327,50425,Directed,176025,,15.03,3.53,15.03
50327,50134,Directed,176024,,13.76,4.43,13.76
50327,50286,Directed,176697,,19.74,0.2,19.74
50327,50378,Directed,176000,,15.41,3.26,15.41
50327,50173,Directed,175999,,16.53,2.47,16.53
50327,50393,Directed,175971,,18.61,0.99,18.61
50327,50324,Directed,176006,,16.47,2.51,16.47
50425,50327,Directed,175211,,15.03,3.53,15.03
50425,50122,Directed,176037,,17.87,1.52,17.87
50134,50327,Directed,175210,,13.76,4.43,13.76
50134,50286,Directed,179135,,19.94,0.06,19.94
50134,50761,Directed,183056,,19.95,0.05,19.95
50134,50307,Directed,183025,,19.89,0.09,19.89
50286,50486,Directed,177622,,19.76,0.18,19.76
50286,50451,Directed,177998,,19.86,0.11,19.86
50286,50487,Directed,177999,,19.83,0.13,19.83
50286,50107,Directed,177908,,19.7,0.23,19.7
50286,50501,Directed,178004,,19.79,0.16,19.79
50286,50327,Directed,176997,,19.88,0.1,19.88
50286,50134,Directed,183026,,19.93,0.06,19.93
50286,50378,Directed,179136,,19.94,0.06,19.94
50286,50322,Directed,179191,,19.9,0.09,19.9
50286,50762,Directed,179164,,19.84,0.13,19.84
50489,50716,Directed,179162,,19.96,0.04,19.96
50489,50761,Directed,183052,,19.98,0.03,19.98
