id,label,name,long,lat,rank,expense
50206,Iol Caesarea,Iol Caesarea,2.2,36.61,90,0.81
50756,Palma,Palma,2.65,39.57,80,0.63
50448,Ebusus,Ebusus,1.42,38.91,80,0.71
50368,Sufasar,Sufasar,2.51,36.19,80,3.38
50060,Auzia,Auzia,3.68,36.15,80,7.47
50145,Dertosa,Dertosa,0.52,40.81,80,0.55
50065,Barcino,Barcino,2.16,41.36,90,0.57
50476,Colubraria,Colubraria,0.69,39.9,60,0.79
50379,Tarraco,Tarraco,1.23,41.12,100,0.52
50483,Metagonium Pr.,Metagonium Pr.,6.47,37.09,60,0.58
50394,Tubusuctu,Tubusuctu,4.83,36.67,80,1.59
50221,Lamasba,Lamasba,5.91,35.6,80,8.69
50148,Diana Veteranorum,Diana Veteranorum,5.89,35.79,80,9.48
50135,Cuicul,Cuicul,5.73,36.32,80,5.89
50362,Sitifis,Sitifis,5.39,36.19,90,4.7
50482,Igilgili,Igilgili,5.77,36.82,80,0.64
50334,Saldae,Saldae,5.07,36.76,80,0.68
50222,Lambaesis,Lambaesis,6.26,35.49,90,7.34
50120,Cirta,Cirta,6.59,36.36,90,2.98
50299,Perdices,Perdices,5.37,35.84,70,6.21
50427,Zarai,Zarai,5.68,35.8,80,7.25
50385,Thamugadi,Thamugadi,6.47,35.5,80,6.65
50329,Rusicade,Rusicade,6.91,36.88,80,0.56
50203,Ilerda,Ilerda,0.62,41.61,80,3.52
50167,Emporiae,Emporiae,3.1,42.15,80,0.54
50390,Theveste,Theveste,8.14,35.41,80,9.69
50198,Hippo Regius,Hippo Regius,7.75,36.89,90,0.5
50384,Thagaste,Thagaste,7.98,36.29,80,3.09
50486,Caralis,Caralis,9.11,39.21,80,0.3
50451,Olbia,Olbia,9.5,40.93,80,0.21
50716,Aleria,Aleria,9.53,42.12,80,0.28
50487,Gallicum Fretum,Gallicum Fretum,9.16,41.39,60,0.23
50369,Sufetula,Sufetula,9.13,35.26,80,6.12
50449,Thabraca,Thabraca,8.75,36.95,80,0.44
